,Category,Message
52,ham,"['k', 'fyi', 'x', 'has', 'a', 'ride', 'early', 'tomorrow', 'morning', 'but', ""he's"", 'crashing', 'at', 'our', 'place', 'tonight']"
53,ham,"['wow.', 'i', 'never', 'realized', 'that', 'you', 'were', 'so', 'embarassed', 'by', 'your', 'accomodations.', 'i', 'thought', 'you', 'liked', 'it,', 'since', 'i', 'was', 'doing', 'the', 'best', 'i', 'could', 'and', 'you', 'always', 'seemed', 'so', 'happy', 'about', '""the', 'cave"".', ""i'm"", 'sorry', 'i', ""didn't"", 'and', ""don't"", 'have', 'more', 'to', 'give.', ""i'm"", 'sorry', 'i', 'offered.', ""i'm"", 'sorry', 'your', 'room', 'was', 'so', 'embarassing.']"
54,spam,"['sms.', 'ac', 'sptv:', 'the', 'new', 'jersey', 'devils', 'and', 'the', 'detroit', 'red', 'wings', 'play', 'ice', 'hockey.', 'correct', 'or', 'incorrect?', 'end?', 'reply', 'end', 'sptv']"
55,ham,"['do', 'you', 'know', 'what', 'mallika', 'sherawat', 'did', 'yesterday?', 'find', 'out', 'now', '@', '&lt;url&gt;']"
56,spam,"['congrats!', '1', 'year', 'special', 'cinema', 'pass', 'for', '2', 'is', 'yours.', 'call', 'phonenumber', 'now!', 'c', 'suprman', 'v,', 'matrix3,', 'starwars3,', 'etc', 'all', '4', 'marketword', 'bx420-ip4-5we.', '150pm.', 'dont', 'miss', 'out!']"
57,ham,"['sorry,', ""i'll"", 'call', 'later', 'in', 'meeting.']"
58,ham,"['tell', 'where', 'you', 'reached']"
59,ham,"['yes..gauti', 'and', 'sehwag', 'out', 'of', 'odi', 'series.']"
60,ham,"['your', 'gonna', 'have', 'to', 'pick', 'up', 'a', '$1', 'burger', 'for', 'yourself', 'on', 'your', 'way', 'home.', 'i', ""can't"", 'even', 'move.', 'pain', 'is', 'killing', 'me.']"
61,ham,"['ha', 'ha', 'ha', 'good', 'joke.', 'girls', 'are', 'situation', 'seekers.']"
62,ham,"['its', 'a', 'part', 'of', 'checking', 'iq']"
63,ham,"['sorry', 'my', 'roommates', 'took', 'forever,', 'it', 'ok', 'if', 'i', 'come', 'by', 'now?']"
64,ham,"['ok', 'lar', 'i', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'he', 'said', 'wun', 'cut', 'v', 'short.', 'he', 'said', 'will', 'cut', 'until', 'i', 'look', 'nice.']"
65,spam,"['as', 'a', 'valued', 'customer,', 'i', 'am', 'pleased', 'to', 'advise', 'you', 'that', 'following', 'recent', 'review', 'of', 'your', 'mob', 'no.', 'you', 'are', 'awarded', 'with', 'a', '£1500', 'bonus', 'prize,', 'call', 'phonenumber']"
66,ham,"['today', 'is', '""song', 'dedicated', 'day..""', 'which', 'song', 'will', 'u', 'dedicate', 'for', 'me?', 'send', 'this', 'to', 'all', 'ur', 'valuable', 'frnds', 'but', 'first', 'rply', 'me...']"
67,spam,"['urgent', 'ur', 'awarded', 'a', 'complimentary', 'trip', 'to', 'eurodisinc', 'trav,', 'aco&entry41', 'or', '£1000.', 'to', 'claim', 'txt', 'dis', 'to', '87121', '18+6*£1.50(morefrmmob.', 'shracomorsglsuplt)10,', 'ls1', '3aj']"
68,spam,"['did', 'you', 'hear', 'about', 'the', 'new', '""divorce', 'barbie""?', 'it', 'comes', 'with', 'all', 'of', ""ken's"", 'stuff!']"
69,ham,"['i', 'plane', 'to', 'give', 'on', 'this', 'month', 'end.']"
70,ham,"['wah', 'lucky', 'man...', 'then', 'can', 'save', 'money...', 'hee...']"
71,ham,"['finished', 'class', 'where', 'are', 'you.']"
72,ham,"['hi', 'babe', 'im', 'at', 'home', 'now', 'wanna', 'do', 'something?', 'xx']"
73,ham,"['k..k:)where', 'are', 'you?how', 'did', 'you', 'performed?']"
74,ham,"['u', 'can', 'call', 'me', 'now...']"
75,ham,"['i', 'am', 'waiting', 'machan.', 'call', 'me', 'once', 'you', 'marketword']"
76,ham,"['thats', 'cool.', 'i', 'am', 'a', 'gentleman', 'and', 'will', 'treat', 'you', 'with', 'dignity', 'and', 'respect.']"
77,ham,"['i', 'like', 'you', 'peoples', 'very', 'much:)', 'but', 'am', 'very', 'shy', 'pa.']"
78,ham,"['does', 'not', 'operate', 'after', '&lt;#&gt;', 'or', 'what']"
79,ham,"['its', 'not', 'the', 'same', 'here.', 'still', 'looking', 'for', 'a', 'job.', 'how', 'much', 'do', ""ta's"", 'earn', 'there.']"
80,ham,"['sorry,', ""i'll"", 'call', 'later']"
81,ham,"['k.', 'did', 'you', 'call', 'me', 'just', 'now', 'ah?']"
82,ham,"['ok', 'i', 'am', 'on', 'the', 'way', 'to', 'home', 'hi', 'hi']"
83,ham,"['you', 'will', 'be', 'in', 'the', 'place', 'of', 'that', 'man']"
84,ham,"['yup', 'next', 'stop.']"
85,ham,"['i', 'call', 'you', 'later,', ""don't"", 'have', 'network.', 'if', 'urgnt,', 'sms', 'me.']"
86,ham,"['for', 'real', 'when', 'u', 'getting', 'on', 'yo?', 'i', 'only', 'need', '2', 'more', 'tickets', 'and', 'one', 'more', 'jacket', 'and', ""i'm"", 'done.', 'i', 'already', 'used', 'all', 'my', 'multis.']"
87,ham,"['yes', 'i', 'started', 'to', 'send', 'requests', 'to', 'make', 'it', 'but', 'pain', 'came', 'back', 'so', ""i'm"", 'back', 'in', 'bed.', 'double', 'coins', 'at', 'the', 'factory', 'too.', 'i', 'gotta', 'cash', 'in', 'all', 'my', 'nitros.']"
88,ham,"[""i'm"", 'really', 'not', 'up', 'to', 'it', 'still', 'tonight', 'babe']"
89,ham,"['ela', 'kano.,il', 'download,', 'come', 'wen', 'ur', 'marketword']"
90,ham,"['yeah', 'do!', 'don‘t', 'stand', 'to', 'close', 'tho-', 'you‘ll', 'catch', 'something!']"
91,ham,"['sorry', 'to', 'be', 'a', 'pain.', 'is', 'it', 'ok', 'if', 'we', 'meet', 'another', 'night?', 'i', 'spent', 'late', 'afternoon', 'in', 'casualty', 'and', 'that', 'means', 'i', ""haven't"", 'done', 'any', 'of', 'y', 'stuff42moro', 'and', 'that', 'includes', 'all', 'my', 'time', 'sheets', 'and', 'that.', 'sorry.']"
92,ham,"['smile', 'in', 'pleasure', 'smile', 'in', 'pain', 'smile', 'when', 'trouble', 'pours', 'like', 'rain', 'smile', 'when', 'sum1', 'hurts', 'u', 'smile', 'becoz', 'someone', 'still', 'loves', 'to', 'see', 'u', 'smiling!!']"
93,spam,"['please', 'call', 'our', 'customer', 'service', 'representative', 'on', '0800', '169', '6031', 'between', '10am-9pm', 'as', 'you', 'have', 'won', 'a', 'guaranteed', '£1000', 'cash', 'or', '£5000', 'prize!']"
94,ham,"['havent', 'planning', 'to', 'buy', 'later.', 'i', 'check', 'already', 'lido', 'only', 'got', '530', 'show', 'in', 'e', 'afternoon.', 'u', 'finish', 'work', 'already?']"
95,spam,"['your', 'marketword', 'ringtone', 'is', 'waiting', 'to', 'be', 'collected.', 'simply', 'text', 'the', 'password', '""mix""', 'to', '85069', 'to', 'verify.', 'get', 'usher', 'and', 'britney.', 'fml,', 'po', 'box', '5249,', 'mk17', '92h.', '450ppw', '16']"
96,ham,"['watching', 'telugu', 'movie..wat', 'abt', 'u?']"
97,ham,"['i', 'see.', 'when', 'we', 'finish', 'we', 'have', 'loads', 'of', 'loans', 'to', 'pay']"
98,ham,"['hi.', 'wk', 'been', 'ok', '-', 'on', 'hols', 'now!', 'yes', 'on', 'for', 'a', 'bit', 'of', 'a', 'run.', 'forgot', 'that', 'i', 'have', 'hairdressers', 'appointment', 'at', 'four', 'so', 'need', 'to', 'get', 'home', 'n', 'shower', 'beforehand.', 'does', 'that', 'cause', 'prob', 'for', 'u?""']"
99,ham,"['i', 'see', 'a', 'cup', 'of', 'coffee', 'animation']"
100,ham,"['please', ""don't"", 'text', 'me', 'anymore.', 'i', 'have', 'nothing', 'else', 'to', 'say.']"
101,ham,"['okay', 'name', 'ur', 'price', 'as', 'long', 'as', 'its', 'legal!', 'wen', 'can', 'i', 'pick', 'them', 'up?', 'y', 'u', 'ave', 'x', 'ams', 'xx']"
102,ham,"[""i'm"", 'still', 'looking', 'for', 'a', 'car', 'to', 'buy.', 'and', 'have', 'not', 'gone', '4the', 'driving', 'test', 'yet.']"
103,ham,"['as', 'per', 'your', 'request', ""'melle"", 'melle', '(oru', 'minnaminunginte', 'nurungu', ""vettam)'"", 'has', 'been', 'set', 'as', 'your', 'callertune', 'for', 'all', 'callers.', 'press', '*9', 'to', 'copy', 'your', 'friends', 'callertune']"
104,ham,"['wow.', ""you're"", 'right!', 'i', ""didn't"", 'mean', 'to', 'do', 'that.', 'i', 'guess', 'once', 'i', 'gave', 'up', 'on', 'boston', 'men', 'and', 'changed', 'my', 'search', 'location', 'to', 'nyc,', 'something', 'changed.', 'cuz', 'on', 'my', 'signin', 'page', 'it', 'still', 'says', 'boston.']"
105,ham,"['umma', 'my', 'life', 'and', 'vava', 'umma', 'love', 'you', 'lot', 'dear']"
106,ham,"['thanks', 'a', 'lot', 'for', 'your', 'wishes', 'on', 'my', 'birthday.', 'thanks', 'you', 'for', 'making', 'my', 'birthday', 'truly', 'memorable.']"
107,ham,"['aight,', ""i'll"", 'hit', 'you', 'up', 'when', 'i', 'get', 'some', 'cash']"
108,ham,"['how', 'would', 'my', 'ip', 'address', 'test', 'that', 'considering', 'my', 'computer', ""isn't"", 'a', 'minecraft', 'server']"
109,ham,"['i', 'know!', 'grumpy', 'old', 'people.', 'my', 'mom', 'was', 'like', 'you', 'better', 'not', 'be', 'lying.', 'then', 'again', 'i', 'am', 'always', 'the', 'one', 'to', 'play', 'jokes...']"
110,ham,"['dont', 'worry.', 'i', 'guess', ""he's"", 'busy.']"
111,ham,"['what', 'is', 'the', 'plural', 'of', 'the', 'noun', 'research?']"
112,ham,"['going', 'for', 'dinner.msg', 'you', 'after.']"
113,ham,"[""i'm"", 'ok', 'wif', 'it', 'cos', 'i', 'like', '2', 'try', 'new', 'things.', 'but', 'i', 'scared', 'u', 'dun', 'like', 'mah.', 'cos', 'u', 'said', 'not', 'too', 'loud.']"
114,spam,"['gent!', 'we', 'are', 'trying', 'to', 'contact', 'you.', 'last', 'weekends', 'draw', 'shows', 'that', 'you', 'won', 'a', '£1000', 'prize', 'guaranteed.', 'call', 'phonenumber', 'claim', 'code', 'k52.', 'valid', '12hrs', 'only.', '150ppm']"
115,ham,"['wa,', 'ur', 'openin', 'sentence', 'very', 'formal...', 'anyway,', ""i'm"", 'fine', 'too,', 'juz', 'tt', ""i'm"", 'eatin', 'too', 'much', 'n', 'puttin', 'on', 'weight...haha...', 'so', 'anythin', 'special', 'happened?']"
116,ham,"['as', 'i', 'entered', 'my', 'cabin', 'my', 'pa', 'said,', ""''"", 'happy', ""b'day"", 'boss', ""!!''."", 'i', 'felt', 'special.', 'she', 'askd', 'me', '4', 'lunch.', 'after', 'lunch', 'she', 'invited', 'me', 'to', 'her', 'apartment.', 'we', 'went', 'there.']"
117,spam,"['you', 'are', 'a', 'winner', 'u', 'have', 'been', 'specially', 'selected', '2', 'receive', '£1000', 'or', 'a', '4*', 'holiday', '(flights', 'inc)', 'speak', 'to', 'a', 'live', 'operator', '2', 'claim', 'phonenumber', '(18+)']"
118,ham,"['goodo!', 'yes', 'we', 'must', 'speak', 'friday', '-', 'egg-potato', 'ratio', 'for', 'tortilla', 'needed!']"
119,ham,"['hmm...my', 'uncle', 'just', 'informed', 'me', 'that', ""he's"", 'paying', 'the', 'school', 'directly.', 'so', 'pls', 'buy', 'food.']"
120,spam,"['private!', 'your', '2004', 'account', 'statement', 'for', 'phonenumber', 'shows', '786', 'unredeemed', 'bonus', 'points.', 'to', 'claim', 'call', 'phonenumber', 'identifier', 'code:', '45239', 'expires']"
121,spam,"['urgent!', 'your', 'mobile', 'no.', 'was', 'awarded', '£2000', 'bonus', 'caller', 'prize', 'on', '5/9/03', 'this', 'is', 'our', 'final', 'try', 'to', 'contact', 'u!', 'call', 'from', 'landline', 'phonenumber', 'box42wr29c,', '150ppm']"
122,ham,"['here', 'is', 'my', 'new', 'address', '-apples&pairs&all', 'that', 'malarky']"
123,spam,"['todays', 'voda', 'numbers', 'ending', '7548', 'are', 'selected', 'to', 'receive', 'a', '$350', 'award.', 'if', 'you', 'have', 'a', 'match', 'please', 'call', 'phonenumber', 'quoting', 'claim', 'code', '4041', 'standard', 'rates', 'app']"
124,ham,"['i', 'am', 'going', 'to', 'sao', 'mu', 'today.', 'will', 'be', 'done', 'only', 'at', '12']"
125,ham,"['ü', 'predict', 'wat', 'time', ""ü'll"", 'finish', 'buying?']"
126,ham,"['good', 'stuff,', 'will', 'do.']"
127,ham,"['just', 'so', 'that', 'you', 'know,yetunde', ""hasn't"", 'sent', 'money', 'yet.', 'i', 'just', 'sent', 'her', 'a', 'text', 'not', 'to', 'bother', 'sending.', 'so', 'its', 'over,', 'you', 'dont', 'have', 'to', 'involve', 'yourself', 'in', 'anything.', 'i', ""shouldn't"", 'have', 'imposed', 'anything', 'on', 'you', 'in', 'the', 'first', 'place', 'so', 'for', 'that,', 'i', 'apologise.']"
128,ham,"['are', 'you', 'there', 'in', 'room.']"
129,ham,"['hey', 'girl.', 'how', 'r', 'u?', 'hope', 'u', 'r', 'well', 'me', 'an', 'del', 'r', 'bak!', 'again', 'long', 'time', 'no', 'c!', 'give', 'me', 'a', 'call', 'sum', 'time', 'from', 'lucyxx']"
130,ham,"['k..k:)how', 'much', 'does', 'it', 'cost?']"
131,ham,"[""i'm"", 'home.']"
132,ham,"['dear,', 'will', 'call', 'tmorrow.pls', 'accomodate.']"
133,ham,"['first', 'answer', 'my', 'question.']"
134,spam,"['sunshine', 'quiz', 'wkly', 'q!', 'win', 'a', 'top', 'sony', 'dvd', 'player', 'if', 'u', 'know', 'which', 'country', 'the', 'algarve', 'is', 'in?', 'txt', 'ansr', 'to', '82277.', '£1.50', 'sp:tyrone']"
135,spam,"['want', '2', 'get', 'laid', 'tonight?', 'want', 'real', 'dogging', 'locations', 'sent', 'direct', '2', 'ur', 'mob?', 'join', 'the', ""uk's"", 'largest', 'dogging', 'network', 'bt', 'txting', 'gravel', 'to', '69888!', 'nt.', 'ec2a.', '31p.msg@150p']"
136,ham,"['i', 'only', 'haf', 'msn.', ""it's"", 'website']"
137,ham,"['he', 'is', 'there.', 'you', 'call', 'and', 'meet', 'him']"
138,ham,"['no', 'no.', 'i', 'will', 'check', 'all', 'rooms', 'befor', 'activities']"
139,spam,"[""you'll"", 'not', 'rcv', 'any', 'more', 'msgs', 'from', 'the', 'chat', 'svc.', 'for', 'marketword', 'hardcore', 'services', 'text', 'go', 'to:', '69988', 'if', 'u', 'get', 'nothing', 'u', 'must', 'age', 'verify', 'with', 'yr', 'network', '&', 'try', 'again']"
140,ham,"['got', 'c...', 'i', 'lazy', 'to', 'type...', 'i', 'forgot', 'ü', 'in', 'lect...', 'i', 'saw', 'a', 'pouch', 'but', 'like', 'not', 'v', 'nice...']"
141,ham,"['k,', 'text', 'me', 'when', ""you're"", 'on', 'the', 'way']"
142,ham,"['sir,', 'waiting', 'for', 'your', 'mail.']"
143,ham,"['a', 'swt', 'thought:', '""nver', 'get', 'tired', 'of', 'doing', 'little', 'things', '4', 'lovable', 'persons..""', 'coz..somtimes', 'those', 'little', 'things', 'occupy', 'd', 'biggest', 'part', 'in', 'their', 'hearts..', 'gud', 'ni8']"
144,ham,"['i', 'know', 'you', 'are.', 'can', 'you', 'pls', 'open', 'the', 'back?']"
145,ham,"['yes', 'see', 'ya', 'not', 'on', 'the', 'dot']"
146,ham,"['whats', 'the', 'staff', 'name', 'who', 'is', 'taking', 'class', 'for', 'us?']"
147,spam,"['marketword', 'why', ""haven't"", 'you', 'replied', 'to', 'my', 'text?', ""i'm"", 'randy,', 'sexy,', 'female', 'and', 'live', 'local.', 'luv', 'to', 'hear', 'from', 'u.', 'netcollex', 'ltd', 'phonenumber', 'per', 'msg', 'reply', 'stop', 'to', 'end']"
148,ham,"['ummma.will', 'call', 'after', 'check', 'in.our', 'life', 'will', 'begin', 'from', 'qatar', 'so', 'pls', 'pray', 'very', 'hard.']"
149,ham,"['k..i', 'deleted', 'my', 'contact', 'that', 'why?']"
150,ham,"['sindu', 'got', 'job', 'in', 'birla', 'soft', '..']"
151,ham,"['the', 'wine', 'is', 'flowing', 'and', ""i'm"", 'i', 'have', 'nevering..']"
152,ham,"['yup', 'i', 'thk', 'cine', 'is', 'better', 'cos', 'no', 'need', '2', 'go', 'down', '2', 'plaza', 'mah.']"
153,ham,"['ok...', 'ur', 'typical', 'reply...']"
154,ham,"['as', 'per', 'your', 'request', ""'melle"", 'melle', '(oru', 'minnaminunginte', 'nurungu', ""vettam)'"", 'has', 'been', 'set', 'as', 'your', 'callertune', 'for', 'all', 'callers.', 'press', '*9', 'to', 'copy', 'your', 'friends', 'callertune']"
155,ham,"['you', 'are', 'everywhere', 'dirt,', 'on', 'the', 'floor,', 'the', 'windows,', 'even', 'on', 'my', 'shirt.', 'and', 'sometimes', 'when', 'i', 'open', 'my', 'mouth,', 'you', 'are', 'all', 'that', 'comes', 'flowing', 'out.', 'i', 'dream', 'of', 'my', 'world', 'without', 'you,', 'then', 'half', 'my', 'chores', 'are', 'out', 'too.', 'a', 'time', 'of', 'joy', 'for', 'me,', 'lots', 'of', 'tv', 'shows', 'i.ll', 'see.', 'but', 'i', 'guess', 'like', 'all', 'things', 'you', 'just', 'must', 'exist,', 'like', 'rain,', 'hail', 'and', 'mist,', 'and', 'when', 'my', 'time', 'here', 'is', 'done,', 'you', 'and', 'i', 'become', 'one.']"
156,ham,"['aaooooright', 'are', 'you', 'at', 'work?']"
157,ham,"[""i'm"", 'leaving', 'my', 'house', 'now...']"
158,ham,"['hello,', 'my', 'love.', 'what', 'are', 'you', 'doing?', 'did', 'you', 'get', 'to', 'that', 'interview', 'today?', 'are', 'you', 'you', 'happy?', 'are', 'you', 'being', 'a', 'good', 'boy?', 'do', 'you', 'think', 'of', 'me?are', 'you', 'missing', 'me', '?']"
